embryo,angle
SU5402_5,212.471
SU5402_5,111.801
SU5402_5,84.92
SU5402_5,59.621
SU5402_5,63.886
SU5402_5,25.463
SU5402_5,121.799
SU5402_5,147.724
SU5402_5,356.424
SU5402_5,357.207
SU5402_5,19.179
SU5402_5,239.036
SU5402_6,79.695
SU5402_6,76.759
SU5402_6,29.932
SU5402_6,29.358
SU5402_6,55.923
SU5402_6,56.768
SU5402_6,64.29
SU5402_6,353.157
SU5402_6,352.405
SU5402_6,345.964
SU5402_6,101.889
SU5402_6,113.806
SU5402_6,101.31
SU5402_6,330.803
SU5402_6,312.51
SU5402_6,8.366
SU5402_6,227.951
SU5402_6,99.13
SU5402_6,288.8
SU5402_6,135
SU5402_6,199.654
SU5402_6,222.138
SU5402_6,212.735
SU5402_6,187.595
SU5402_6,234.605
SU5402_6,199.29
SU5402_6,246.038
SU5402_6,191.944
SU5402_6,213.024
SU5402_6,206.565
SU5402_6,274.574
SU5402_6,227.603
SU5402_6,261.254
SU5402_6,268.091
SU5402_6,246.801
SU5402_6,255.069
SU5402_6,136.736
SU5402_6,127.694
SU5402_6,27.646
SU5402_6,56.31
SU5402_6,80.134
SU5402_6,313.603
SU5402_6,94.574
SU5402_6,90
SU5402_6,237.995
SU5402_6,189.866
SU5402_6,352.03
SU5402_6,360
SU5402_6,348.111
SU5402_6,278.427
SU5402_6,339.274
SU5402_6,35.789
SU5402_6,55.008
SU5402_6,166.931
SU5402_6,256.608
SU5402_6,263.83
SU5402_6,250.017
SU5402_6,273.18
SU5402_6,286.26
SU5402_6,294.228
SU5402_6,278.746
SU5402_6,251.03
SU5402_6,36.027
SU5402_6,4.865
SU5402_6,261.027
SU5402_6,357.274
SU5402_6,342.35
SU5402_6,20.376
SU5402_6,1.685
SU5402_6,339.677
SU5402_6,93.094
SU5402_6,136.548
SU5402_6,252.897
SU5402_6,225
SU5402_6,203.429
SU5402_6,3.576
SU5402_6,280.784
SU5402_6,266.186
SU5402_6,245.772
SU5402_6,114.905
SU5402_6,88.21
SU5402_6,88.21
SU5402_6,110.556
SU5402_6,147.171
SU5402_6,79.992
SU5402_6,197.103
SU5402_6,201.371
SU5402_6,219.806
SU5402_6,38.66
SU5402_6,183.945
SU5402_6,177.455
SU5402_6,136.848
SU5402_6,146.31
SU5402_6,90
SU5402_6,90
SU5402_6,109.29
SU5402_6,66.038
SU5402_6,69.677
SU5402_6,92.203
SU5402_6,118.61
SU5402_6,340.278
SU5402_6,229.399
SU5402_6,90
SU5402_6,105.524
SU5402_6,88.21
SU5402_6,71.565
SU5402_6,86.186
SU5402_6,292.38
SU5402_6,296.565
