condition,Length
basal_after_healing,2.407
basal_after_healing,1.715
basal_after_healing,2.549
basal_after_healing,2.212
basal_after_healing,0.869
basal_after_healing,1.144
basal_after_healing,1.835
basal_after_healing,3.46
basal_after_healing,2.812
basal_after_healing,3.928
basal_after_healing,2.833
basal_after_healing,2.72
basal_after_healing,2.126
basal_after_healing,2.394
basal_after_healing,1.796
basal_after_healing,1.553
basal_after_healing,1.543
basal_after_healing,0.806
basal_after_healing,0.829
basal_after_healing,4.195
basal_after_healing,1.759
basal_after_healing,1.09
basal_after_healing,2.876
basal_after_healing,1.819
basal_after_healing,1.904
basal_after_healing,3.255
basal_after_healing,2.288
basal_after_healing,0.947
basal_after_healing,0.894
basal_after_healing,1.776
basal_after_healing,1.212
basal_after_healing,1.796
basal_after_healing,1.15
basal_after_healing,0.584
basal_after_healing,2.983
basal_after_healing,2.711
basal_after_healing,2.755
basal_after_healing,1.627
basal_after_healing,1.382
basal_after_healing,1.194
basal_after_healing,2.215
basal_after_healing,1.069
basal_after_healing,1.419
basal_after_healing,1.519
basal_after_healing,1.802
basal_after_healing,1.043
basal_after_healing,2.712
basal_after_healing,2.202
basal_after_healing,1.675
basal_after_healing,1.489
basal_after_healing,1.534
basal_after_healing,2.013
basal_after_healing,1.164
basal_after_healing,1.029
basal_after_healing,4.884
basal_after_healing,0.947
basal_after_healing,3.301
basal_after_healing,1.339
basal_after_healing,1.5
basal_after_healing,1.759
basal_after_healing,0.488
basal_after_healing,0.977
basal_after_healing,3.777
basal_after_healing,0.923
basal_after_healing,1.194
basal_after_healing,1.16
basal_after_healing,0.977
basal_after_healing,0.434
basal_after_healing,0.723
basal_after_healing,1.236
basal_after_healing,3.224
basal_after_healing,2.262
basal_after_healing,0.723
basal_after_healing,1.917
basal_after_healing,2.528
basal_after_healing,0.776
basal_after_healing,3.746
basal_after_healing,1.382
basal_after_healing,0.948
basal_after_healing,1.564
basal_after_healing,1.602
basal_after_healing,1.595
basal_after_healing,1.41
basal_after_healing,1.907
basal_after_healing,2.061
basal_after_healing,2.659
basal_after_healing,3.219
basal_after_healing,1.51
basal_after_healing,1.79
basal_after_healing,1.527
basal_after_healing,0.902
basal_after_healing,1.653
basal_after_healing,0.485
basal_after_healing,1.587
basal_after_healing,1.955
basal_after_healing,2.231
basal_after_healing,1.2
basal_after_healing,0.737
basal_after_healing,0.512
basal_after_healing,1.013
basal_after_healing,0.576
basal_after_healing,0.679
basal_after_healing,0.982
basal_after_healing,3.204
basal_after_healing,2.212
basal_after_healing,2.224
basal_after_healing,1.38
basal_after_healing,1.959
basal_after_healing,2.316
basal_after_healing,1.302
basal_after_healing,1.726
basal_after_healing,1.239
basal_after_healing,2.509
basal_after_healing,1.252
basal_after_healing,2.14
basal_after_healing,0.66
basal_after_healing,0.584
basal_after_healing,1.339
basal_after_healing,1.649
basal_after_healing,2.044
basal_after_healing,2.934
basal_after_healing,1.923
basal_after_healing,0.927
basal_after_healing,1.086
basal_after_healing,1.835
basal_after_healing,1.756
basal_after_healing,2.555
basal_after_healing,1.508
basal_after_healing,1.682
basal_after_healing,1.306
basal_after_healing,2.346
basal_after_healing,2.488
basal_after_healing,2.159
basal_after_healing,2.349
basal_after_healing,4.067
basal_after_healing,3.228
basal_after_healing,1.806
basal_after_healing,2.795
basal_after_healing,1.63
basal_after_healing,1.788
basal_after_healing,2.401
basal_after_healing,3.265
basal_after_healing,2.236
basal_after_healing,1.164
basal_after_healing,0.782
basal_after_healing,1.444
basal_after_healing,1.894
basal_after_healing,1.329
basal_after_healing,0.876
basal_after_healing,0.651
basal_after_healing,0.514
basal_after_healing,2.539
basal_after_healing,2.134
basal_after_healing,0.821
basal_after_healing,2.07
basal_after_healing,1.601
basal_after_healing,1.382
basal_after_healing,1.386
basal_after_healing,3.081
basal_after_healing,1.873
basal_after_healing,1.712
basal_after_healing,1.596
basal_after_healing,1.465
basal_after_healing,0.857
basal_after_healing,1.153
basal_after_healing,0.894
basal_after_healing,0.933
basal_after_healing,2.843
basal_after_healing,2.644
basal_after_healing,1.779
basal_after_healing,1.715
basal_after_healing,1.899
basal_after_healing,2.121
basal_after_healing,2.551
basal_after_healing,1.212
basal_after_healing,1.67
basal_after_healing,1.793
basal_after_healing,2.863
basal_after_healing,1.572
basal_after_healing,1.464
basal_after_healing,2.621
basal_after_healing,1.481
basal_after_healing,2.139
basal_after_healing,1.426
basal_after_healing,1.892
basal_after_healing,1.77
basal_after_healing,2.765
basal_after_healing,2.478
basal_after_healing,1.204
basal_after_healing,2.065
basal_after_healing,1.247
basal_after_healing,1.302
basal_after_healing,1.144
basal_after_healing,0.767
basal_after_healing,1.925
basal_after_healing,1.247
basal_after_healing,1.359
basal_after_healing,1.788
basal_after_healing,1.097
basal_after_healing,1.917
basal_after_healing,2.628
basal_after_healing,2.266
basal_after_healing,0.651
basal_after_healing,2.507
basal_after_healing,1.091
basal_after_healing,0.977
basal_after_healing,1.068
basal_after_healing,0.705
basal_after_healing,0.928
basal_after_healing,1.248
basal_after_healing,1.618
basal_after_healing,0.466
basal_after_healing,0.727
basal_after_healing,0.653
basal_after_healing,1.289
basal_after_healing,2.376
basal_after_healing,2.207
basal_after_healing,1.204
basal_after_healing,1.304
basal_after_healing,1.164
basal_after_healing,3.309
basal_after_healing,0.782
basal_after_healing,0.789
basal_after_healing,0.723
basal_after_healing,1.306
basal_after_healing,2.076
basal_after_healing,1.248
basal_after_healing,1.419
basal_after_healing,2.999
basal_after_healing,3.211
basal_after_healing,0.927
basal_after_healing,1.068
basal_after_healing,1.118
basal_after_healing,0.829
basal_after_healing,0.606
basal_after_healing,0.613
basal_after_healing,1.576
basal_after_healing,2.425
basal_after_healing,1.94
basal_after_healing,2.202
basal_after_healing,2.815
basal_after_healing,1.919
basal_after_healing,0.894
basal_after_healing,1.39
basal_after_healing,1.285
basal_after_healing,1.19
basal_after_healing,3.157
basal_after_healing,1.164
basal_after_healing,0.857
basal_after_healing,1.829
basal_after_healing,1.851
basal_after_healing,2.743
basal_after_healing,1.313
basal_after_healing,2.711
basal_after_healing,2.249
basal_after_healing,2.779
basal_after_healing,1.189
basal_after_healing,1.194
basal_after_healing,1.313
basal_after_healing,1.489
basal_after_healing,1.399
basal_after_healing,1.023
basal_after_healing,0.737
basal_after_healing,0.923
basal_after_healing,3.363
basal_after_healing,2.276
basal_after_healing,1.17
basal_after_healing,0.727
basal_after_healing,0.928
basal_after_healing,2.378
basal_after_healing,1.247
basal_after_healing,0.599
basal_after_healing,0.662
basal_after_healing,1.218
basal_after_healing,0.961
basal_after_healing,0.618
basal_after_healing,0.662
basal_after_healing,1.153
basal_after_healing,1.67
basal_after_healing,1.79
basal_after_healing,2.106
basal_after_healing,1.715
basal_after_healing,1.184
basal_after_healing,1.029
basal_after_healing,2.065
basal_after_healing,1.164
basal_after_healing,1.14
basal_after_healing,1.823
basal_after_healing,1.252
basal_after_healing,1.258
basal_after_healing,1.339
basal_after_healing,1
basal_after_healing,2.013
basal_after_healing,0.928
basal_after_healing,1.492
basal_after_healing,2.159
basal_after_healing,2.599
basal_after_healing,1.573
basal_after_healing,1.726
basal_after_healing,2.648
basal_after_healing,2.396
basal_after_healing,1.414
basal_after_healing,1.043
basal_after_healing,3.599
basal_after_healing,2.939
basal_after_healing,1.373
