Time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30
-6,0.216,0.095904,0.864,0,0.288,0.36,0.576,0.504,1.008,0.432,0.65,0.365625,0.4604275,-0.121875,0.1083225,-0.446875,0.853125,0.284375,-0.24375,0.853125,0.3851925,-0.44022,-0.2751375,0.330165,0.3851925,-0.330165,0.66033,-0.0550275,-0.1650825,0.0550275
-5,0.864,0.096192,0.216,0.288,0.239904,0.792,0.144,0.324,0.671904,0.144,0.73125,1.015625,0.8395725,0.040625,0.2166775,0.853125,1.259375,0.73125,-0.040625,0.365625,0.2751375,0.330165,0.0550275,-0.03675837,0.44022,-0.2751375,0.110055,0.22011,-0.2751375,-0.22011
-4,1.224,0.095904,0.288,1.200096,1.008,0.792,0.432,0.36,1.056096,0.815904,0.40625,0.528125,0.4333225,1.21875,-0.2166775,0.56875,0.325,0.609375,1.1375,0.24375,0.3851925,-0.2751375,-0.22011,-0.110055,-0.0550275,-0.1650825,0.4952475,-0.66033,0,-0.7153575
-3,1.224,0.671904,0.072,1.008,0.624096,1.368,0.144,0.468,0.72,0.624096,0.446875,0.24375,0.0541775,0.771875,-0.325,0.24375,-0.040625,0.325,-0.65,1.015625,0.550275,0.550275,-0.330165,0.51373674,0.1650825,0.3851925,-0.770385,-0.66033,0.22011,0.1650825
-2,1.08,-0.095904,1.008,0.912096,0.72,0.684,0.432,0.468,1.44,0.72,-0.284375,-0.1625,0.08125,0.1625,-0.2166775,0.56875,0.08125,-0.08125,-0.771875,0.89375,0.4952475,0.2751375,0.44022,-0.18357174,-0.44022,-0.3851925,-0.550275,-0.8254125,-0.0550275,-0.3851925
-1,1.368,-0.095904,1.296,0.144,0.527904,1.116,-0.623808,0.432,0.72,0.144,0.365625,-0.365625,0.6229275,0.8125,0.325,0.89375,0.934375,0.609375,1.05625,0,0.990495,-0.1650825,0.0550275,0.22011,0.44022,0.44022,-0.44022,-0.66033,0.1650825,0.22011
0,1.08,1.247904,1.368,0.767808,0.816192,0.756,0.671904,0.684,0.959904,-0.144,0.609375,0.365625,0.8395725,0.4875,0.4875,0.934375,1.584375,1.259375,0.325,0.771875,1.210605,0.2751375,0.22011,-0.07329663,1.1555775,0.3851925,-0.0550275,-0.330165,-0.110055,-0.2751375
1,0,1.056096,1.008,0.768096,0.959904,1.044,0.095904,0.828,1.152,0,1.4625,0.40625,0.5958225,2.19375,1.083355,1.3,0.1625,1.015625,0.284375,0.65,0.8254125,0.22011,2.2011,-0.22011,0.6053025,0.770385,-0.0550275,-0.0550275,0.0550275,0.1650825
2,0.432,0.576,1.512,0.912096,0.815904,0.72,-0.095904,0.288,0.864,0.671904,0.690625,0,0.5416775,0.690625,1.0833225,0.40625,0.771875,0.446875,0.121875,0.24375,0.8254125,-0.0550275,0.0550275,0.03675837,-0.22011,0.6053025,-0.22011,0.44022,0.44022,-0.3851925
3,0,1.823904,1.512,1.008,1.152,0.54,-0.144,0.684,0.768096,0.240192,0.609375,1.340625,0.325,0.89375,0.1083225,1.421875,1.05625,0.8125,0,0.56875,0.88044,0.3851925,0.7153575,-0.330165,-1.3756875,1.0455225,0.8254125,-0.0550275,-0.0550275,0.6053025
