condition,Angle
intact_image4_4-6-19_,263.797
intact_image4_4-6-19_,213.69
intact_image4_4-6-19_,207.3
intact_image4_4-6-19_,315
intact_image6_4-6-19_,270
intact_image6_4-6-19_,268.264
intact_image6_4-6-19_,261.674
intact_image6_4-6-19_,147.907
intact_image6_4-6-19_,137.726
intact_image6_4-6-19_,101.31
intact_image6_4-6-19_,104.744
intact_image6_4-6-19_,245.225
intact_image6_4-6-19_,265.914
intact_image6_4-6-19_,317.862
intact_image6_4-6-19_,227.49
intact_image6_4-6-19_,225.807
intact_image6_4-6-19_,163.101
intact_image6_4-6-19_,160.821
intact_image6_4-6-19_,153.435
intact_image6_4-6-19_,137.121
intact_image6_4-6-19_,161.565
intact_image6_4-6-19_,136.469
intact_image6_4-6-19_,137.726
intact_image6_4-6-19_,170.87
intact_image6_4-6-19_,129.92
intact_image6_4-6-19_,126.87
intact_image6_4-6-19_,160.253
intact_image6_4-6-19_,183.366
intact_image6_4-6-19_,142.306
intact_image6_4-6-19_,191.592
intact_image6_4-6-19_,260.538
intact_image6_4-6-19_,260.395
intact_image6_4-6-19_,299.745
intact_image6_4-6-19_,353.48
intact_image6_4-6-19_,260.538
intact_image6_4-6-19_,148.299
intact_image6_4-6-19_,172.875
intact_image6_4-6-19_,250.017
intact_image6_4-6-19_,248.839
intact_image6_4-6-19_,281.634
intact_image6_4-6-19_,242.488
intact_image6_4-6-19_,274.236
intact_image6_4-6-19_,200.323
intact_image6_4-6-19_,174.289
intact_image6_4-6-19_,336.371
intact_image6_4-6-19_,187.386
intact_TL3_7-10-19,68.682
intact_TL3_7-10-20,104.036
intact_TL3_7-10-21,86.424
intact_TL3_7-10-22,177.184
intact_TL3_7-10-23,171.158
intact_TL3_7-10-24,139.185
intact_TL3_7-10-25,136.637
intact_TL3_7-10-26,103.173
intact_TL3_7-10-27,172.185
intact_TL3_7-10-28,156.801
intact_TL3_7-10-29,289.654
intact_TL3_7-10-30,360
intact_TL3_7-10-31,331.39
intact_TL3_7-10-32,265.006
intact_TL3_7-10-33,219.611
intact_TL3_7-10-34,113.962
intact_TL3_7-10-35,158.629
intact_TL3_7-10-36,78.69
intact_TL3_7-10-37,83.29
intact_TL3_7-10-38,192.095
intact_TL3_7-10-39,172.648
intact_TL3_7-10-40,110.556
intact_TL3_7-10-41,200.41
intact_TL3_7-10-42,270
intact_TL3_7-10-43,253.887
intact_TL3_7-10-44,243.435
intact_TL3_7-10-45,232.696
intact_TL3_7-10-46,58.392
intact_TL3_7-10-47,321.34
intact_TL3_7-10-48,217.569
intact_TL3_7-10-49,127.405
intact_TL3_7-10-50,219.806
intact_TL3_7-10-51,126.254
intact_TL3_7-10-52,220.236
intact_TL3_7-10-53,213.136
intact_TL3_7-10-54,280.305
intact_TL3_7-10-55,223.152
intact_TL3_7-10-56,18.435
intact_TL3_7-10-57,12.011
intact_TL3_7-10-58,317.726
intact_TL3_7-10-59,326.31
intact_TL3_7-10-60,326.31
intact_TL3_7-10-61,321.34
intact_TL3_7-10-62,240.018
intact_TL3_7-10-63,267.51
intact_TL3_7-10-64,197.928
intact_TL3_7-10-65,172.093
intact_TL3_7-10-66,152.103
intact_TL3_7-10-67,313.025
intact_TL3_7-10-68,48.576
intact_TL3_7-10-69,135
intact_TL3_7-10-70,148.392
intact_TL3_7-10-71,123.69
intact_TL3_7-10-72,94.635
intact_TL3_7-10-73,138.094
intact_TL3_7-10-74,349.046
intact_TL3_7-10-75,323.13
intact_TL3_7-10-76,141.34
intact_TL3_7-10-77,119.148
intact_TL3_7-10-78,136.005
intact_TL3_7-10-79,265.601
intact_TL3_7-10-80,282.095
intact_TL3_7-10-81,125.942
intact_TL3_7-10-82,297.699
intact_TL3_7-10-83,53.344
intact_TL3_7-10-84,120.256
intact_TL3_7-10-85,127.367
intact_TL3_7-10-86,210.379
intact_TL3_7-10-87,264.806
intact_TL3_7-10-88,188.973
intact_TL3_7-10-89,153.435
intact_TL3_7-10-90,163.009
intact_TL3_7-10-91,327.995
intact_TL3_7-10-92,260.538
intact_TL2_7-10-19,126.87
intact_TL2_7-10-20,183.652
intact_TL2_7-10-21,152.281
intact_TL2_7-10-22,88.493
intact_TL2_7-10-23,166.675
intact_TL2_7-10-24,136.005
intact_TL2_7-10-25,90
intact_TL2_7-10-26,63.435
intact_TL2_7-10-27,41.634
intact_TL2_7-10-28,149.237
intact_TL2_7-10-29,79.875
intact_TL2_7-10-30,87.709
intact_TL2_7-10-31,161.565
intact_TL2_7-10-32,211.139
intact_TL2_7-10-33,103.57
intact_TL2_7-10-34,300.256
intact_TL2_7-10-35,263.418
intact_TL2_7-10-36,257.005
intact_TL2_7-10-37,85.914
intact_TL2_7-10-38,102.529
intact_TL2_7-10-39,86.186
intact_TL2_7-10-40,148.392
