condition,length
basal_intact,1.684
basal_intact,2.386
basal_intact,2.236
basal_intact,1.738
basal_intact,3.312
basal_intact,2.469
basal_intact,3.152
basal_intact,1.342
basal_intact,2.617
basal_intact,2.791
basal_intact,2.065
basal_intact,2.418
basal_intact,1.952
basal_intact,0.679
basal_intact,5.606
basal_intact,2.041
basal_intact,0.534
basal_intact,1.339
basal_intact,1.106
basal_intact,0.928
basal_intact,2.329
basal_intact,1.695
basal_intact,1.39
basal_intact,2.488
basal_intact,0.868
basal_intact,2.54
basal_intact,1.819
basal_intact,1.431
basal_intact,1.655
basal_intact,0.694
basal_intact,0.889
basal_intact,1.16
basal_intact,1.27
basal_intact,1.009
basal_intact,0.923
basal_intact,4.662
basal_intact,1.212
basal_intact,1.189
basal_intact,1.2
basal_intact,2.605
basal_intact,1.612
basal_intact,1.759
basal_intact,1.173
basal_intact,1.736
basal_intact,1.628
basal_intact,1.248
basal_intact,1.938
basal_intact,1.971
basal_intact,1.043
basal_intact,1.113
basal_intact,2.459
basal_intact,0.69
basal_intact,1.655
basal_intact,1.173
basal_intact,2.013
basal_intact,2.841
basal_intact,1.712
basal_intact,1.627
basal_intact,2.083
basal_intact,3.228
basal_intact,4.371
basal_intact,0.707
basal_intact,0.776
basal_intact,2.679
basal_intact,2.45
basal_intact,2.906
basal_intact,0.753
basal_intact,3.752
basal_intact,1.823
basal_intact,2.396
basal_intact,1.043
basal_intact,0.97
basal_intact,2.041
basal_intact,3.581
basal_intact,0.66
