Condition,Angle
100% Matrigel,342.699
100% Matrigel,29.745
100% Matrigel,93.576
100% Matrigel,300.964
100% Matrigel,7.989
100% Matrigel,28.61
100% Matrigel,307.405
100% Matrigel,57.529
100% Matrigel,84.56
100% Matrigel,101.31
100% Matrigel,315
100% Matrigel,331.928
100% Matrigel,217.405
100% Matrigel,292.249
100% Matrigel,322.595
100% Matrigel,14.036
100% Matrigel,39.806
100% Matrigel,130.855
100% Matrigel,135
100% Matrigel,127.875
100% Matrigel,29.539
100% Matrigel,7.306
100% Matrigel,352.648
100% Matrigel,84.289
100% Matrigel,328.627
100% Matrigel,4.764
100% Matrigel,304.992
100% Matrigel,322.595
100% Matrigel,95.356
100% Matrigel,346.908
100% Matrigel,205.017
100% Matrigel,182.603
100% Matrigel,194.931
100% Matrigel,360
100% Matrigel,63.435
100% Matrigel,107.241
100% Matrigel,199.231
100% Matrigel,154.179
100% Matrigel,181.397
100% Matrigel,298.496
100% Matrigel,338.629
100% Matrigel,11.31
100% Matrigel,342.699
100% Matrigel,29.745
100% Matrigel,93.576
100% Matrigel,300.964
100% Matrigel,7.989
100% Matrigel,28.61
100% Matrigel,307.405
100% Matrigel,57.529
100% Matrigel,84.56
100% Matrigel,101.31
100% Matrigel,315
100% Matrigel,331.928
100% Matrigel,217.405
100% Matrigel,292.249
100% Matrigel,322.595
100% Matrigel,14.036
100% Matrigel,39.806
100% Matrigel,130.855
100% Matrigel,117.474
100% Matrigel,100.62
100% Matrigel,125.311
100% Matrigel,117.35
100% Matrigel,62.354
100% Matrigel,271.79
100% Matrigel,65.556
100% Matrigel,87.064
100% Matrigel,90
100% Matrigel,110.136
100% Matrigel,338.199
100% Matrigel,339.677
100% Matrigel,4.399
100% Matrigel,14.036
100% Matrigel,206.565
100% Matrigel,25.346
100% Matrigel,356.424
100% Matrigel,345.964
100% Matrigel,353.797
100% Matrigel,323.13
100% Matrigel,243.435
100% Matrigel,164.476
100% Matrigel,172.235
100% Matrigel,175.601
100% Matrigel,184.764
100% Matrigel,355.236
100% Matrigel,265.426
100% Matrigel,266.566
100% Matrigel,329.744
100% Matrigel,274.399
100% Matrigel,311.987
100% Matrigel,95.194
100% Matrigel,106.44
100% Matrigel,124.077
100% Matrigel,82.405
100% Matrigel,116.565
100% Matrigel,132.614
100% Matrigel,85.764
100% Matrigel,107.745
100% Matrigel,175.486
100% Matrigel,181.685
100% Matrigel,172.093
100% Matrigel,22.479
100% Matrigel,349.509
100% Matrigel,19.29
100% Matrigel,21.801
100% Matrigel,180
100% Matrigel,23.199
100% Matrigel,190.954
100% Matrigel,6.911
100% Matrigel,21.038
100% Matrigel,42.51
100% Matrigel,41.186
