condition,length
basal_skinned_length,1.098
basal_skinned_length,0.977
basal_skinned_length,0.707
basal_skinned_length,0.66
basal_skinned_length,0.434
basal_skinned_length,0.842
basal_skinned_length,0.995
basal_skinned_length,0.947
basal_skinned_length,1.655
basal_skinned_length,1.28
basal_skinned_length,1.212
basal_skinned_length,0.813
basal_skinned_length,1.436
basal_skinned_length,0.813
basal_skinned_length,1.797
basal_skinned_length,2.549
basal_skinned_length,1.527
basal_skinned_length,0.723
basal_skinned_length,1.394
basal_skinned_length,1.08
basal_skinned_length,0.776
basal_skinned_length,0.655
basal_skinned_length,0.922
basal_skinned_length,1.561
basal_skinned_length,0.534
basal_skinned_length,1.248
basal_skinned_length,0.815
basal_skinned_length,0.723
basal_skinned_length,0.653
basal_skinned_length,1.32
basal_skinned_length,0.889
basal_skinned_length,0.391
basal_skinned_length,1.496
basal_skinned_length,0.653
basal_skinned_length,0.566
basal_skinned_length,0.727
basal_skinned_length,0.961
basal_skinned_length,0.869
basal_skinned_length,0.883
basal_skinned_length,0.713
basal_skinned_length,0.813
basal_skinned_length,3.111
basal_skinned_length,1.389
basal_skinned_length,0.46
basal_skinned_length,0.961
basal_skinned_length,0.653
basal_skinned_length,1.863
basal_skinned_length,0.782
basal_skinned_length,0.874
basal_skinned_length,0.423
basal_skinned_length,0.976
basal_skinned_length,1.198
basal_skinned_length,0.485
basal_skinned_length,0.485
basal_skinned_length,0.437
basal_skinned_length,1.289
basal_skinned_length,0.46
basal_skinned_length,1.5
basal_skinned_length,0.635
basal_skinned_length,0.868
