embryo,angle
DMSO_5,90
DMSO_5,310.764
DMSO_5,135
DMSO_5,333.435
DMSO_5,192.995
DMSO_5,36.87
DMSO_5,127.807
DMSO_5,90
DMSO_5,104.621
DMSO_5,128.66
DMSO_5,123.311
DMSO_5,81.469
DMSO_5,108.435
DMSO_5,52.125
DMSO_5,104.859
